name;ring;quadrant;isNew;description;;;;;;;;;;;;;;;;;;;;;
5G Campus Netzwerk;Adopt;Techniques;1;Beschreibung 5G Campus Netzwerke;;;;;;;;;;;;;;;;;;;;;
IP Mesh;Adopt;Techniques;0;IP Mesh Netzwerke;;;;;;;;;;;;;;;;;;;;;
Technik 3;Trial;Techniques;-1;Technik 3;;;;;;;;;;;;;;;;;;;;;
WiFi;Trial;Techniques;FALSCH;WiFi als maîgliches Netz;;;;;;;;;;;;;;;;;;;;;
DECT;Adopt;Techniques;FALSCH;Wie wÑre es mit dect;;;;;;;;;;;;;;;;;;;;;
Technik 1;Trial;Techniques;FALSCH;Technik 1;;;;;;;;;;;;;;;;;;;;;
Der Test;Hold;Techniques;WAHR;"Dann schreibe ich da mal einen lÑngeren Text um zu prÅfen, wie es auf der Anzeige wirkt.<p>
<p>das wÑre dann die zweite Zeile
<p> - AufzÑhlung 1
<p> - AufzÑhlung 2 <a href=""https://docs.greatexpectations.io/en/latest/""><strong>Great Expectations</strong></a>";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Technik 10;Assess;Techniques;WAHR;Technik 10;;;;;;;;;;;;;;;;;;;;;
Technik 11;Assess;Techniques;FALSCH;Technik 11;;;;;;;;;;;;;;;;;;;;;
Plattformen 1;Adopt;Platforms;FALSCH;Beschreinung Plattformen 1;;;;;;;;;;;;;;;;;;;;;
Plattformen 2;Adopt;Platforms;FALSCH;Beschreinung Plattformen 2;;;;;;;;;;;;;;;;;;;;;
Plattformen 3;Trial;Platforms;WAHR;Beschreinung Plattformen 3;;;;;;;;;;;;;;;;;;;;;
Plattformen 4;Trial;Platforms;FALSCH;Beschreinung Plattformen 4;;;;;;;;;;;;;;;;;;;;;
Plattformen 5;Trial;Platforms;WAHR;Beschreinung Plattformen 5;;;;;;;;;;;;;;;;;;;;;
Plattformen 6;Trial;Platforms;FALSCH;Beschreinung Plattformen 6;;;;;;;;;;;;;;;;;;;;;
Plattformen 7;Trial;Platforms;WAHR;Beschreinung Plattformen 7;;;;;;;;;;;;;;;;;;;;;
Plattformen 8;Trial;Platforms;WAHR;Beschreinung Plattformen 8;;;;;;;;;;;;;;;;;;;;;
Plattformen 9;Trial;Platforms;WAHR;Beschreinung Plattformen 9;;;;;;;;;;;;;;;;;;;;;
Plattformen 10;Trial;Platforms;WAHR;Beschreinung Plattformen 10;;;;;;;;;;;;;;;;;;;;;
Sennheiser 4600;Adopt;Tools;FALSCH;"<p><a href=""https://docs.greatexpectations.io/en/latest/""><strong>Great Expectations</strong></a> has become a sensible default for our teams in the data quality space, which is why we recommend adopting it ? not only for the lack of better alternatives but also because our teams have reported great results in several client projects. Great Expectations is a framework that allows you to craft built-in controls that flag anomalies or quality issues in data pipelines. Just as unit tests run in a build pipeline, Great Expectations makes assertions during the execution of a data pipeline. We like its simplicity and ease of use ? the rules stored in JSON can be modified by our data domain experts without necessarily needing data engineering skills.</p>";;;;;;;;;;;;;;;;;;;;;
Shure Gugus;Adopt;Tools;FALSCH;"<p>Since we first mentioned it in the Radar, <a href=""https://k6.io/""><strong>k6</strong></a> has become a go-to tool for performance testing. We continue to be fans of how easy it is to write JavaScript code for tests, but k6 also has a low-code <a href=""https://k6.io/docs/test-authoring/test-builder"">test builder</a> to make playing with the tool even easier. The documentation shows how easy it is to add performance testing to a pipeline across <a href=""https://k6.io/docs/integrations/#continuous-integration-and-continuous-delivery"">multiple CI/CD tools</a>. Our teams find it easy to integrate <a href=""https://k6.io/docs/integrations/#result-store-and-visualization"">visualization tools</a> like <a href=""/radar/tools/grafana"">Grafana</a> and New Relic, which help them tune both infrastructure and applications. The developer friendliness and ecosystem make k6 a compelling option for investigating a system's behavior under heavy load.</p>";;;;;;;;;;;;;;;;;;;;;
AVX;Trial;Tools;FALSCH;"<p><strong><a href=""https://superset.apache.org/"">Apache Superset</a></strong> is a great business intelligence (BI) tool for data exploration and visualization to work with large data lake and data warehouse setups. It supports several <a href=""https://superset.apache.org/docs/databases/installing-database-drivers"">data sources</a> ? including AWS Redshift, <a href=""/radar/platforms/bigquery"">BigQuery</a>, Azure MS SQL, <a href=""/radar/platforms/snowflake"">Snowflake</a> and <a href=""/radar/platforms/clickhouse"">ClickHouse</a>. Moreover, you don't have to be a data engineer to use it; it's meant to benefit all engineers exploring data in their everyday work. For demanding use cases, we found it easy to scale Superset by deploying it in a <a href=""/radar/platforms/kubernetes"">Kubernetes</a> cluster. Since we last talked about it in the Radar, Superset has graduated as an Apache product, and we've seen great success in several projects.</p>";;;;;;;;;;;;;;;;;;;;;
Rhode;Trial;Tools;WAHR;"<p>When implementing robust, secure and reliable disaster recovery, it?s necessary to ensure that backups can't be deleted or altered before their expiry, either maliciously or accidentally. Previously, with AWS Backup, these policies and guarantees had to be implemented by hand. Recently, AWS has added the Vault Lock feature to ensure backups are immutable and untamperable. <a href=""https://docs.aws.amazon.com/aws-backup/latest/devguide/vault-lock.html""><strong>AWS Backup Vault Lock</strong></a> enforces retention and deletion policies and prevents even those with administrator privileges from altering or deleting backup files. This has proved to be a valuable addition and fills a previously empty space.</p>";;;;;;;;;;;;;;;;;;;;;
Evalution;Trial;Tools;WAHR;"<p>Multi-team account management is a challenge in AWS, especially in setup and governance; <a href=""https://aws.amazon.com/controltower""><strong>AWS Control Tower</strong></a> is an attempt to address this challenge. Our team has reported good results using it to manage accounts and access control for multiple teams in the organization through a single, centralized place.</p>";;;;;;;;;;;;;;;;;;;;;
EvoTech;Trial;Tools;WAHR;"<p>We've had success with <a href=""https://clumio.com/products/protect/""><strong>Clumio Protect</strong></a> for backing up AWS data, particularly S3. A commercial SaaS solution, Clumio Protect can also back up a range of other AWS services and stores the data offline where it is not accessible through the internet. Our teams responsible for handling data protection and recovery at massive scale found that Clumio Protect is easy to set up and maintain and far outperforms the native AWS Backup service when S3 buckets are particularly big.</p>";;;;;;;;;;;;;;;;;;;;;
bolero;Trial;Tools;WAHR;"<p>We've been talking about <a href=""/radar/techniques/tailored-service-templates"">tailored service templates</a> ever since we first identified <a href=""/radar/techniques/microservices"">microservices</a> as a thing. If an organization sets out to create a collection of small services that can be developed, built, deployed and operated independently but consistently, it makes sense to give teams a solid starting point that aligns to the standard. However, one of the enduring problems with that approach is that as the template evolves over time in response to changing technical and business requirements, projects based on older versions of the template fall out of date. Retrofitting template improvements into an established project becomes a major pain. <strong><a href=""https://cruft.github.io/cruft/"">Cruft</a></strong> attempts to address this problem by providing tools to identify and patch differences between a local project and the current head of a master template repository. It combines the <a href=""https://github.com/cookiecutter/cookiecutter"">Cookiecutter</a> templating engine with git hashes to identify and apply changes to the templates. Think of it as a package manager for a project boilerplate. Keeping templates up-to-date is a notoriously difficult and long-standing problem, so to us the solution Cruft provides sounds almost too good to be true. Based on early feedback from our team, however, Cruft actually works and makes life easier for service builders and maintainers. We're anxious to see how it performs over the long term, but for now it's worth taking a look at this potentially useful tool.</p>";;;;;;;;;;;;;;;;;;;;;
GerÑte 8;Trial;Tools;FALSCH;"<p>We continue to hear enthusiastic reports about <strong><a href=""https://excalidraw.com/"">Excalidraw</a></strong> from our teams, but our previous caveat about security remains in place. Excalidraw is a simple yet powerful online drawing tool. Sometimes teams just need a quick picture instead of a formal diagram; for remote teams, Excalidraw provides a quick way to create and share diagrams. Our teams also like the ""lo-fi"" look of the diagrams it can produce, which is reminiscent of the whiteboard diagrams they would have produced when co-located. Regarding security, at the time of writing, anyone who has the link can see your diagrams; note, though, that the paid version of Excalidraw provides further authentication and options to run a server locally do exist.</p>";;;;;;;;;;;;;;;;;;;;;
GerÑte 9;Trial;Tools;WAHR;"<p>We like spreading the word about linting tools that actually help you find issues rather than just shortcut style disputes in the team. <strong><a href=""https://github.com/hadolint/hadolint"">Hadolint</a></strong> is one of those tools ? it helps find common issues in Dockerfiles. We find it to be fast, accurate and with good documentation. It explains both how to fix an issue and why it's an issue in the first place, thus nudging Dockerfile authors toward good practices. Incidentally, Hadolint is built on top of <a href=""/radar/tools/shellcheck"">ShellCheck</a>, which we recommend in its own right for checking your shell scripts.</p>";;;;;;;;;;;;;;;;;;;;;
